Rk,Season,Team,Lg,W,OPS+▼,GP,W,L,WL%,Bat#,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,LOB,R/Gm
1,2022,St. Louis Cardinals,NL,78,118,133,78,55,.586,23,5097,4537,660,1172,749,233,21,169,634,83,22,445,1025,.258,.331,.431,.762,118,1954,91,68,4,41,9,940,5.0
2,2022,Los Angeles Dodgers,NL,91,115,132,91,41,.689,29,5101,4510,707,1175,699,275,27,174,674,85,14,497,1102,.261,.337,.449,.786,115,2026,75,46,1,45,16,942,5.4
3,2022,Toronto Blue Jays,AL,72,113,131,72,59,.550,20,4964,4479,608,1161,745,249,8,159,595,52,27,399,1006,.259,.324,.425,.749,113,1903,104,46,8,27,11,896,4.6
4,2022,New York Yankees,AL,79,111,133,79,54,.594,22,5064,4451,653,1060,661,185,8,206,621,79,27,504,1129,.238,.322,.422,.744,111,1879,95,59,12,33,27,894,4.9
5,2022,Minnesota Twins,AL,67,110,131,67,64,.511,27,4931,4408,578,1092,705,219,15,153,557,27,16,431,1068,.248,.319,.408,.727,110,1800,100,45,10,36,8,899,4.4
6,2022,Atlanta Braves,NL,83,109,134,83,51,.619,24,5041,4567,659,1155,691,252,10,202,629,76,26,392,1243,.253,.318,.445,.763,109,2033,83,54,0,28,10,854,4.9
7,2022,Houston Astros,AL,85,109,133,85,48,.639,23,4978,4439,598,1087,668,236,11,172,582,66,17,444,990,.245,.318,.419,.737,109,1861,94,48,6,36,14,888,4.5
8,2022,New York Mets,NL,85,109,134,85,49,.634,35,5078,4526,625,1160,771,230,24,135,593,51,20,408,1008,.256,.327,.407,.735,109,1843,95,88,18,37,20,942,4.7
9,2022,Philadelphia Phillies,NL,73,107,133,73,60,.549,30,5000,4529,626,1151,749,213,24,165,600,88,21,388,1112,.254,.317,.421,.738,107,1907,96,44,5,33,11,877,4.7
10,2022,Seattle Mariners,AL,75,105,133,75,58,.564,36,5023,4426,557,1021,657,193,16,155,534,68,22,480,1128,.231,.313,.387,.700,105,1711,90,69,9,36,15,934,4.2
11,2022,Milwaukee Brewers,NL,70,104,132,70,62,.530,22,5008,4429,598,1046,653,194,15,184,583,76,24,474,1181,.236,.317,.411,.729,104,1822,99,66,7,32,19,904,4.5
12,2022,Tampa Bay Rays,AL,74,104,131,74,57,.565,23,4885,4398,561,1064,697,233,15,119,532,77,32,410,1142,.242,.311,.383,.694,104,1684,78,44,7,26,11,866,4.3
